ST01Q01,International Grade,Me,International Grade,,,,,,,,2012,,,,,,,,,,,
IC01Q07,At Home - Cell phone with Internet,Computer Orientation,At Home,Cell phone with Internet,,זמינות ושימוש באמצעי תקשוב,בבית,טלפון נייד עם אינטרנט,,,2012,,,,,,,,,,,
IC01Q08,At Home - Mp3/Mp4 player,Computer Orientation,At Home,Mp3/Mp4 player,,זמינות ושימוש באמצעי תקשוב,בבית,נגן נייד,,,2012,,,,,,,,,,,
IC01Q09,At Home - Printer,Computer Orientation,At Home,Printer,,זמינות ושימוש באמצעי תקשוב,בבית,מדפסת,,,2012,,,,,,,,,,,
IC01Q10,At Home - USB (memory) stick,Computer Orientation,At Home,USB (memory) stick,,זמינות ושימוש באמצעי תקשוב,בבית,זיכרון נייד,,,2012,,,,,,,,,,,
IC01Q11,At Home - Ebook reader,Computer Orientation,At Home,Ebook reader,,זמינות ושימוש באמצעי תקשוב,בבית,ספר אלקטרוני,,,2012,,,,,,,,,,,
IC02Q01,At school - Desktop Computer,Computer Orientation,At school,Desktop Computer,,זמינות ושימוש באמצעי תקשוב,בבית הספר,מחשב שולחני,,,2012,,,,,,,,,,,
IC02Q02,At school - Portable laptop,Computer Orientation,At school,Portable laptop,,זמינות ושימוש באמצעי תקשוב,בבית הספר,מחשב נייד,,,2012,,,,,,,,,,,
IC02Q03,At school - Tablet computer,Computer Orientation,At school,Tablet computer,,זמינות ושימוש באמצעי תקשוב,בבית הספר,טאבלט,,,2012,,,,,,,,,,,
IC02Q04,At school - Internet connection,Computer Orientation,At school,Internet connection,,זמינות ושימוש באמצעי תקשוב,בבית הספר,חיבור לאינטרנט,,,2012,,,,,,,,,,,
IC02Q05,At school - Printer,Computer Orientation,At school,Printer,,זמינות ושימוש באמצעי תקשוב,בבית הספר,מדפסת,,,2012,,,,,,,,,,,
IC02Q06,At school - USB (memory) stick,Computer Orientation,At school,USB (memory) stick,,זמינות ושימוש באמצעי תקשוב,בבית הספר,זיכרון נייד,,,2012,,,,,,,,,,,
IC02Q07,At school - Ebook reader,Computer Orientation,At school,Ebook reader,,זמינות ושימוש באמצעי תקשוב,בבית הספר,ספר אלקטרוני,,,2012,,,,,,,,,,,
IC03Q01,First use of computers,Computer Orientation,First use of computers,,,זמינות ושימוש באמצעי תקשוב,שימוש ראשון,גיל תחילת שימוש במחשב,,,2012,,,,,,,,,,,
IC04Q01,First access to Internet,Computer Orientation,First access to Internet,,,זמינות ושימוש באמצעי תקשוב,שימוש ראשון,גיל הכניסה הראשונה לאינטרנט,,,2012,,,,,,,,,,,
IC05Q01,Internet at School,Computer Orientation,Internet at School,General,,זמינות ושימוש באמצעי תקשוב,בבית הספר,האם יש אינטרנט,,,2012,,,,,,,,,,,
IC06Q01,Internet out-of-school - Weekday,Computer Orientation,Internet at School,Weekday,,זמינות ושימוש באמצעי תקשוב,מחוץ לבית הספר,שימוש באינטרנט בימי חול,,,2012,,,,,,,,,,,
IC07Q01,Internet out-of-school - Weekend,Computer Orientation,Internet at School,Weekend,,זמינות ושימוש באמצעי תקשוב,מחוץ לבית הספר,שימוש באינטרנט בסופי שבוע,,,2012,,,,,,,,,,,
IC08Q01,Out-of-school 8 - One player games.,Computer Orientation,Out-of-school,One player games,,זמינות ושימוש באמצעי תקשוב,מחוץ לבית הספר,משחקי מחשב למשתתף יחיד,,,2012,,,,,,,,,,,
IC08Q02,Out-of-school 8 - ColLabourative games.,Computer Orientation,Out-of-school,ColLabourative games,,זמינות ושימוש באמצעי תקשוב,מחוץ לבית הספר,משחקי מחשב מרובי משתתפים,,,2012,,,,,,,,,,,
IC08Q03,Out-of-school 8 - Use email,Computer Orientation,Out-of-school,Use email,,זמינות ושימוש באמצעי תקשוב,מחוץ לבית הספר,שימוש בדואר אלקטרוני,,,2012,,,,,,,,,,,
IC08Q04,Out-of-school 8 - Chat on line,Computer Orientation,Out-of-school,Chat on line,,זמינות ושימוש באמצעי תקשוב,מחוץ לבית הספר,השתתפות בצ'אט,,,2012,,,,,,,,,,,
IC08Q05,Out-of-school 8 - Social networks,Computer Orientation,Out-of-school,Social networks,,זמינות ושימוש באמצעי תקשוב,מחוץ לבית הספר,השתתפות ברשתות חברתיות,,,2012,,,,,,,,,,,
IC08Q06,Out-of-school 8 - Browse the Internet for fun,Computer Orientation,Out-of-school,Browse the Internet for fun,,זמינות ושימוש באמצעי תקשוב,מחוץ לבית הספר,גלישה לשם הנאה,,,2012,,,,,,,,,,,
IC08Q07,Out-of-school 8 - Read news,Computer Orientation,Out-of-school,Read news,,זמינות ושימוש באמצעי תקשוב,מחוץ לבית הספר,קריאת חדשות,,,2012,,,,,,,,,,,
IC08Q08,Out-of-school 8 - Obtain practical information from the Internet,Computer Orientation,Out-of-school,Obtain practical information from the Internet,,זמינות ושימוש באמצעי תקשוב,מחוץ לבית הספר,חיפוש מידע שימושי,,,2012,,,,,,,,,,,
IC08Q09,Out-of-school 8 - Download music,Computer Orientation,Out-of-school,Download music,,זמינות ושימוש באמצעי תקשוב,מחוץ לבית הספר,הורדת מוזיקה,,,2012,,,,,,,,,,,
IC08Q11,Out-of-school 8 - Upload content,Computer Orientation,Out-of-school,Upload content,,זמינות ושימוש באמצעי תקשוב,מחוץ לבית הספר,העלאת תכנים,,,2012,,,,,,,,,,,
IC09Q01,Out-of-school 9 - Internet for school,Computer Orientation,Out-of-school,Internet for school,,זמינות ושימוש באמצעי תקשוב,מחוץ לבית הספר,גלישה באינטרנט לצורך לימודים,,,2012,,,,,,,,,,,
IC09Q02,Out-of-school 9 - Email students,Computer Orientation,Out-of-school,Email students,,זמינות ושימוש באמצעי תקשוב,מחוץ לבית הספר,"דוא""ל עם תלמידים בנושאים לימודיים",,,2012,,,,,,,,,,,
IC09Q03,Out-of-school 9 - Email teachers,Computer Orientation,Out-of-school,Email teachers,,זמינות ושימוש באמצעי תקשוב,מחוץ לבית הספר,"דוא""ל עם מורות כדי להגיש שיעורי בית",,,2012,,,,,,,,,,,
IC09Q04,Out-of-school 9 - Download from School,Computer Orientation,Out-of-school,Download from School,,זמינות ושימוש באמצעי תקשוב,מחוץ לבית הספר,"עיון בחומרים שבאתר ביה""ס",,,2012,,,,,,,,,,,
IC09Q05,Out-of-school 9 - Announcements,Computer Orientation,Out-of-school,Announcements,,זמינות ושימוש באמצעי תקשוב,מחוץ לבית הספר,"בדיקת הודעות באתר ביה""ס",,,2012,,,,,,,,,,,
IC09Q06,Out-of-school 9 - Homework,Computer Orientation,Out-of-school,Homework,,זמינות ושימוש באמצעי תקשוב,מחוץ לבית הספר,הכנת שיעורי בית במחשב,,,2012,,,,,,,,,,,
IC09Q07,Out-of-school 9 - Share school material,Computer Orientation,Out-of-school,Share school material,,זמינות ושימוש באמצעי תקשוב,מחוץ לבית הספר,"שיתוף תלמידים בחומר הקשור בביה""ס",,,2012,,,,,,,,,,,
IC10Q01,At School - Chat on line,Computer Orientation,At School,Chat on line,,זמינות ושימוש באמצעי תקשוב,בבית הספר,"השתתפות בצ'אט של ביה""ס",באיזו תדירות אתה משתמש במחשב לצורך הפעילויות הבאות בבית הספר?,,2012,,,,,,,,,,,
IC10Q02,At School - Email,Computer Orientation,At School,Email,,זמינות ושימוש באמצעי תקשוב,בבית הספר,"שימוש בדוא""ל של בית הספר",משתמש בדואר אלקטרוני בבית הספר,,2012,,,,,,,,,,,
IC10Q03,At School - Browse for schoolwork,Computer Orientation,At School,Browse for schoolwork,,זמינות ושימוש באמצעי תקשוב,בבית הספר,גלישה באינטרנט לצורך לימודים,גולש באינטרנט לצורך לימודים,,2012,,,,,,,,,,,
IC10Q04,At School - Download from website,Computer Orientation,At School,Download from website,,זמינות ושימוש באמצעי תקשוב,בבית הספר,"עיון בחומרים שבאתר ביה""ס",מעיין בחומרים שבאתר האינטרנט של בית הספר,מוריד ומעלה קבצים באתר (לדוגמה רשת פנימית),,2012,,,,,,,,,,
IC10Q05,At School - Post on website,Computer Orientation,At School,Post on website,,זמינות ושימוש באמצעי תקשוב,בבית הספר,העלאת חומרים לאתר בית הספר,מעלה לאתר האינטרנט של בית הספר עבודה שהכנת,,2012,,,,,,,,,,,
IC10Q06,At School - Simulations,Computer Orientation,At School,Simulations,,זמינות ושימוש באמצעי תקשוב,בבית הספר,השתתפות בסימולציות לימודיות,משחק במשחקי לומדה (משחקים ללימוד נושא מסוים) בבית הספר,,2012,,,,,,,,,,,
IC10Q07,At School - Practice and drilling,Computer Orientation,At School,Practice and drilling,,זמינות ושימוש באמצעי תקשוב,בבית הספר,אימון ותרגול נושאים שונים,מתאמן ומתרגל נושאים שונים,כגון שפה זרה או מתמטיקה,,2012,,,,,,,,,,
IC10Q08,At School - Homework,Computer Orientation,At School,Homework,,זמינות ושימוש באמצעי תקשוב,בבית הספר,"הכנת שיעורי בית במחשב ביה""ס",מכין שיעורי בית במחשב של בית הספר,,2012,,,,,,,,,,,
IC10Q09,At School - Group work,Computer Orientation,At School,Group work,,זמינות ושימוש באמצעי תקשוב,בבית הספר,"שימוש במחשב ביה""ס לעבודה קבוצתית",משתמש במחשב של בית הספר לעבודה קבוצתית ולתקשורת עם תלמידים אחרים,,2012,,,,,,,,,,,
IC11Q01,Maths lessons - Draw graph,Computer Orientation,Maths lessons,Draw graph,,זמינות ושימוש באמצעי תקשוב,בשיעורי מתמטיקה,שרטוט גרף פונקציה,,,2012,,,,,,,,,,,
IC11Q02,Maths lessons - Calculation with numbers,Computer Orientation,Maths lessons,Calculation with numbers,,זמינות ושימוש באמצעי תקשוב,בשיעורי מתמטיקה,חישובים מספריים,,,2012,,,,,,,,,,,
IC11Q03,Maths lessons - Geometric figures,Computer Orientation,Maths lessons,Geometric figures,,זמינות ושימוש באמצעי תקשוב,בשיעורי מתמטיקה,בניית צורות גיאומטריות,,,2012,,,,,,,,,,,
IC11Q04,Maths lessons - Spreadsheet,Computer Orientation,Maths lessons,Spreadsheet,,זמינות ושימוש באמצעי תקשוב,בשיעורי מתמטיקה,הזנת נתונים לגליון אלקטרוני,,,2012,,,,,,,,,,,
IC11Q05,Maths lessons - Algebra,Computer Orientation,Maths lessons,Algebra,,זמינות ושימוש באמצעי תקשוב,בשיעורי מתמטיקה,ניסוח מחדש ביטויים אלגבריים,,,2012,,,,,,,,,,,
IC11Q06,Maths lessons - Histograms,Computer Orientation,Maths lessons,Histograms,,זמינות ושימוש באמצעי תקשוב,בשיעורי מתמטיקה,שרטוט דיאגרמות עמודות,,,2012,,,,,,,,,,,
IC11Q07,Maths lessons - Change in graphs,Computer Orientation,Maths lessons,Change in graphs,,זמינות ושימוש באמצעי תקשוב,בשיעורי מתמטיקה,שינויים בגרף בהתאם לערכיו,,,2012,,,,,,,,,,,
IC22Q01,Attitudes - Useful for schoolwork,Computer Orientation,Attitudes,Useful for schoolwork,,זמינות ושימוש באמצעי תקשוב,עמדות תלמידים,המחשב הוא כלי מועיל ללימודים שלי,,,2012,,,,,,,,,,,
IC22Q02,Attitudes - Homework more fun,Computer Orientation,Attitudes,Homework more fun,,זמינות ושימוש באמצעי תקשוב,עמדות תלמידים,הכנה של שיעורי בית בעזרת מחשב היא מהנה יותר,,,2012,,,,,,,,,,,
IC22Q04,Attitudes - Source of information,Computer Orientation,Attitudes,Source of information,,זמינות ושימוש באמצעי תקשוב,עמדות תלמידים,האינטרנט מקור נהדר להשגת מידע שבו אני יוכל להשתמש ללימודים,,,2012,,,,,,,,,,,
IC22Q06,Attitudes - Troublesome,Computer Orientation,Attitudes,Troublesome,,זמינות ושימוש באמצעי תקשוב,עמדות תלמידים,שימוש במחשב ללימודים זה מעצבן,,,2012,,,,,,,,,,,
IC22Q07,Attitudes - Not suitable for schoolwork,Computer Orientation,Attitudes,Not suitable for schoolwork,,זמינות ושימוש באמצעי תקשוב,עמדות תלמידים,כל אחד יכול להעלות מידע לאינטרנ ולכן,ככלל,הוא אינו מתאים לצרים לימודיים,,,2012,,,,,,,,,
IC22Q08,Attitudes - Too unreliable,Computer Orientation,Attitudes,Too unreliable,,זמינות ושימוש באמצעי תקשוב,עמדות תלמידים,מידע מהאינטרנט הוא כלל לא מספיק אמין די להשתמש בו למטלות של בית הספר,,,2012,,,,,,,,,,,
EC01Q01,Miss 2 months of <ISCED 1>,,Miss 2 months of <ISCED 1>,,,,חיסורים,הפסיד חודשיים של,,,2012,,,,,,,,,,,
EC02Q01,Miss 2 months of <ISCED 2>,,Miss 2 months of <ISCED 2>,,,,חיסורים,הפסיד חודשיים של,,,2012,,,,,,,,,,,
EC03Q01,Future Orientation - Internship,,Future Orientation,Internship,,,אוריינות עתידית,התמחות,,,2012,,,,,,,,,,,
EC03Q02,Future Orientation - Work-site visits,,Future Orientation,Work,site visits,,אוריינות עתידית,ביקורים במקום עבודה,,,2012,,,,,,,,,,,
EC03Q03,Future Orientation - Job fair,,Future Orientation,Job fair,,,אוריינות עתידית,עבודה הוגנת,,,2012,,,,,,,,,,,
EC03Q04,Future Orientation - Career advisor at school,,Future Orientation,Career advisor at school,,,אוריינות עתידית,יועץ קריירה בבית הספר,,,2012,,,,,,,,,,,
EC03Q05,Future Orientation - Career advisor outside school,,Future Orientation,Career advisor outside school,,,אוריינות עתידית,יועץ קריירה מחוץ לבית הספר,,,2012,,,,,,,,,,,
EC03Q06,Future Orientation - Questionnaire,,Future Orientation,Questionnaire,,,אוריינות עתידית,שאלון,,,2012,,,,,,,,,,,
EC03Q07,Future Orientation - Internet search,,Future Orientation,Internet search,,,אוריינות עתידית,חיפוש באינטרנט,,,2012,,,,,,,,,,,
EC03Q08,Future Orientation - Tour<ISCED 3-5> institution,,Future Orientation,Tour<ISCED 3,5> institution,,אוריינות עתידית,סיור במכון,,,2012,,,,,,,,,,,
EC03Q09,Future Orientation - web search <ISCED 3-5> prog,,Future Orientation,web search <ISCED 3,5> prog,,אוריינות עתידית,תכנית חיפוש באינטרנט,,,2012,,,,,,,,,,,
EC03Q10,Future Orientation - <country specific item>,,Future Orientation,<country specific item>,,,אוריינות עתידית,,,,2012,,,,,,,,,,,
EC04Q01A,Acquired skills - Find job info - Yes,at school,,Acquired skills,Find job info,Yes,at school,,רכישת כישורים,מציאת מידע על עבודה,כן,בבית הספר,,2012,,,,,,,,
EC04Q01B,Acquired skills - Find job info - Yes,out of school,,Acquired skills,Find job info,Yes,out of school,,רכישת כישורים,מציאת מידע על עבודה,כן,מחוץ לבית הספר,,2012,,,,,,,,
EC04Q01C,Acquired skills - Find job info - No,never,,Acquired skills,Find job info,No,never,,רכישת כישורים,מציאת מידע על עבודה,לא,אף פעם,,2012,,,,,,,,
EC04Q02A,Acquired skills - Search for job - Yes,at school,,Acquired skills,Search for job,Yes,at school,,רכישת כישורים,חיפוש עבודה,כן,בבית הספר,,2012,,,,,,,,
EC04Q02B,Acquired skills - Search for job - Yes,out of school,,Acquired skills,Search for job,Yes,out of school,,רכישת כישורים,חיפוש עבודה,כן,מחוץ לבית הספר,,2012,,,,,,,,
EC04Q02C,Acquired skills - Search for job - No,never,,Acquired skills,Search for job,No,never,,רכישת כישורים,חיפוש עבודה,לא,אף פעם,,2012,,,,,,,,
EC04Q03A,Acquired skills - Write resume - Yes,at school,,Acquired skills,Write resume,Yes,at school,,רכישת כישורים,כתיבת קורות חיים,כן,בבית הספר,,2012,,,,,,,,
EC04Q03B,Acquired skills - Write resume - Yes,out of school,,Acquired skills,Write resume,Yes,out of school,,רכישת כישורים,כתיבת קורות חיים,כן,מחוץ לבית הספר,,2012,,,,,,,,
EC04Q03C,Acquired skills - Write resume - No,never,,Acquired skills,Write resume,No,never,,רכישת כישורים,כתיבת קורות חיים,לא,אף פעם,,2012,,,,,,,,
EC04Q04A,Acquired skills - Job interview - Yes,at school,,Acquired skills,Job interview,Yes,at school,,רכישת כישורים,רעיון עבודה,כן,בבית הספר,,2012,,,,,,,,
EC04Q04B,Acquired skills - Job interview - Yes,out of school,,Acquired skills,Job interview,Yes,out of school,,רכישת כישורים,רעיון עבודה,כן,מחוץ לבית הספר,,2012,,,,,,,,
EC04Q04C,Acquired skills - Job interview - No,never,,Acquired skills,Job interview,No,never,,רכישת כישורים,רעיון עבודה,לא,אף פעם,,2012,,,,,,,,
EC04Q05A,Acquired skills - ISCED 3-5 programs - Yes,at school,,Acquired skills,ISCED 3 5 programs,Yes,at school,,רכישת כישורים,,כן,בבית הספר,,2012,,,,,,,,
EC04Q05B,Acquired skills - ISCED 3-5 programs - Yes,out of school,,Acquired skills,ISCED 3 5 programs,Yes,out of school,,רכישת כישורים,,כן,מחוץ לבית הספר,,2012,,,,,,,,
EC04Q05C,Acquired skills - ISCED 3-5 programs - No,never,,Acquired skills,ISCED 3 5 programs,No,never,,רכישת כישורים,,לא,אף פעם,,2012,,,,,,,,
EC04Q06A,Acquired skills - Student financing - Yes,at school,,Acquired skills,Student financing,Yes,at school,,רכישת כישורים,,כן,בבית הספר,,2012,,,,,,,,
EC04Q06B,Acquired skills - Student financing - Yes,out of school,,Acquired skills,Student financing,Yes,out of school,,רכישת כישורים,,כן,מחוץ לבית הספר,,2012,,,,,,,,
EC04Q06C,Acquired skills - Student financing - No,never,,Acquired skills,Student financing,No,never,,רכישת כישורים,,לא,אף פעם,,2012,,,,,,,,
EC05Q01,First language learned,,First language learned,,,,שפה ראשונה נלמדת,,,,2012,,,,,,,,,,,
EC06Q01,Age started learning <test language>,,Age started learning <test language>,,,,גיל למידת שפת,,,,2012,,,,,,,,,,,
EC07Q01,Language spoken - Mother,,Language spoken,Mother,,,שפה מדוברת,אמא,,,2012,,,,,,,,,,,
EC07Q02,Language spoken - Father,,Language spoken,Father,,,שפה מדוברת,אבא,,,2012,,,,,,,,,,,
EC07Q03,Language spoken - Siblings,,Language spoken,Siblings,,,שפה מדוברת,אחים/אחיות,,,2012,,,,,,,,,,,
EC07Q04,Language spoken - Best friend,,Language spoken,Best friend,,,שפה מדוברת,החבר/ה הכי טוב,,,2012,,,,,,,,,,,
EC07Q05,Language spoken - Schoolmates,,Language spoken,Schoolmates,,,שפה מדוברת,חברי בית הספר,,,2012,,,,,,,,,,,
EC08Q01,Activities language - Reading,,Activities language,Reading,,,פעילויות שפה,קריאה,,,2012,,,,,,,,,,,
EC08Q02,Activities language - Watching TV,,Activities language,Watching TV,,,פעילויות שפה,צפייה בטלוויזיה,,,2012,,,,,,,,,,,
EC08Q03,Activities language - Internet surfing,,Activities language,Internet surfing,,,פעילויות שפה,גלישה באינטרנט,,,2012,,,,,,,,,,,
EC08Q04,Activities language - Writing emails,,Activities language,Writing emails,,,פעילויות שפה,כתיבת מיילים,,,2012,,,,,,,,,,,
EC09Q03,Types of support <test language> - remedial lessons,,Types of support <test language>,remedial lessons,,,סוגי תמיכה,הוראה מתקנת,,,2012,,,,,,,,,,,
EC10Q01,Amount of support <test language>,,Amount of support <test language>,,,,כמות תמיכה,עברית/ערבית,,,2012,,,,,,,,,,,
EC11Q02,Attend lessons <heritage language> - focused,,Attend lessons <heritage language>,focused,,,,ממוקד,,,2012,,,,,,,,,,,
EC11Q03,Attend lessons <heritage language> - school subjects,,Attend lessons <heritage language>,school subjects,,,,נושאי בתי ספר,,,2012,,,,,,,,,,,
EC12Q01,Instruction in <heritage language>,,Instruction in <heritage language>,,,,,,,,2012,,,,,,,,,,,
ST22Q01,Acculturation - Mother Immigrant (Filter),,Acculturation,Mother Immigrant (Filter),,,השתלבות עולים/מהגרים,,,,2012,,,,,,,,,,,
ST23Q01,Acculturation - Enjoy <Host Culture> Friends,,Acculturation,Enjoy <Host Culture> Friends,,,השתלבות עולים/מהגרים,,,,2012,,,,,,,,,,,
ST23Q02,Acculturation - Enjoy <Heritage Culture> Friends,,Acculturation,Enjoy <Heritage Culture> Friends,,,השתלבות עולים/מהגרים,,,,2012,,,,,,,,,,,
ST23Q03,Acculturation - Enjoy <Host Culture> Celebrations,,Acculturation,Enjoy <Host Culture> Celebrations,,,השתלבות עולים/מהגרים,,,,2012,,,,,,,,,,,
ST23Q04,Acculturation - Enjoy <Heritage Culture> Celebrations,,Acculturation,Enjoy <Heritage Culture> Celebrations,,,השתלבות עולים/מהגרים,,,,2012,,,,,,,,,,,
ST23Q05,Acculturation - Spend Time with <Host Culture> Friends,,Acculturation,Spend Time with <Host Culture> Friends,,,השתלבות עולים/מהגרים,,,,2012,,,,,,,,,,,
ST23Q06,Acculturation - Spend Time with <Heritage Culture> Friends,,Acculturation,Spend Time with <Heritage Culture> Friends,,,השתלבות עולים/מהגרים,,,,2012,,,,,,,,,,,
ST23Q07,Acculturation - Participate in <Host Culture> Celebrations,,Acculturation,Participate in <Host Culture> Celebrations,,,השתלבות עולים/מהגרים,,,,2012,,,,,,,,,,,
ST23Q08,Acculturation - Participate in <Heritage Culture> Celebrations,,Acculturation,Participate in <Heritage Culture> Celebrations,,,השתלבות עולים/מהגרים,,,,2012,,,,,,,,,,,
ST24Q01,Acculturation - Perceived Host-Heritage Cultural Differences - Values,,Acculturation,Perceived Host Heritage Cultural Differences,Values,,השתלבות עולים/מהגרים,,,,2012,,,,,,,,,,,
ST24Q02,Acculturation - Perceived Host-Heritage Cultural Differences - Mother Treatment,,Acculturation,Perceived Host Heritage Cultural Differences,Mother Treatment,,השתלבות עולים/מהגרים,,,,2012,,,,,,,,,,,
ST24Q03,Acculturation - Perceived Host-Heritage Cultural Differences - Teacher Treatment,,Acculturation,Perceived Host Heritage Cultural Differences,Teacher Treatment,,השתלבות עולים/מהגרים,,,,2012,,,,,,,,,,,
SCLANG,Language of test,RAMA,,,,ראמה,שפת המבחן,,"Hebrew ""Arabic""",,2012,,,,,,,,,,,
STRATUM,General Stratum,RAMA,,,,ראמה,סוג בית ספר,,"Hebrew Religious      ""Hebrew Secular""        ""Arabic""            ""Ultra-Orthodox-Female"" ""Others""",,2012,,,,,,,,,,,
SES,SES-Israeli,RAMA,,,,ראמה,מדד טיפוח,,"HIGH   ""LOW""    ""MEDIUM""",,2012,,,,,,,,,,,
CLCUSE1,Calculator Use,OECDindex,Calculator Use,,,מדדים,שימוש במחשבון,,,,2012,,,,,,,,,,,
CLCUSE301,Effort-real 1,OECDindex,Effort,real 1,,מדדים,מאמצים,מדד 1,,,2012,,,,,,,,,,,
CLCUSE302,Effort-real 2,OECDindex,Effort,real 2,,מדדים,מאמצים,מדד 2,,,2012,,,,,,,,,,,
DEFFORT,Difference in Effort,OECDindex,Difference in Effort,,,מדדים,הבדל במאמצים,,,,2012,,,,,,,,,,,
QUESTID,Student Questionnaire Form,OECDindex,Student Questionnaire Form,,,מדדים,טופס שאלון תלמיד,,,,2012,,,,,,,,,,,
BOOKID,Booklet ID,OECDindex,Booklet ID,,,מדדים,מספר חוברת,,,,2012,,,,,,,,,,,
EASY,Standard or simplified set of booklets,OECDindex,Standard or simplified set of booklets,,,מדדים,סוג החוברת,,,,2012,,,,,,,,,,,
AGE,Age of student,OECDindex,Age of student,,,מדדים,גיל התלמיד,,,,2012,,,,,,,,,,,
GRADE,Grade compared to modal grade in country,OECDindex,Grade compared to modal grade in country,,,מדדים,הגיל,,,,2012,,,,,,,,,,,
PROGN,Unique national study programme code,OECDindex,Unique national study programme code,,,מדדים,,,,,2012,,,,,,,,,,,
ANXMAT,Mathematics Anxiety,OECDindex,Mathematics Anxiety,,,מדדים,חרדה ממתמטיקה,,,,2012,,,,,,,,,,,
ATSCHL,Attitude towards School: Learning Outcomes,OECDindex,Attitude towards School: Learning Outcomes,,,מדדים,גישה כלפי בית הספר,למידת התוצרים,,,2012,,,,,,,,,,,
ATTLNACT,Attitude towards School: Learning Activities,OECDindex,Attitude towards School: Learning Activities,,,מדדים,גישה כלפי בית הספר,למידת פעילויות,,,2012,,,,,,,,,,,
BELONG,Sense of Belonging to School,OECDindex,Sense of Belonging to School,,,מדדים,תחושת שייכות לבית הספר,,,,2012,,,,,,,,,,,
BFMJ2,Father SQ ISEI,OECDindex,Father SQ ISEI,,,מדדים,,,,,2012,,,,,,,,,,,
BMMJ1,Mother SQ ISEI,OECDindex,Mother SQ ISEI,,,מדדים,,,,,2012,,,,,,,,,,,
CLSMAN,Mathematics Teacher's Classroom Management,OECDindex,Mathematics Teacher's Classroom Management,,,מדדים,ניהול שיעורי מתמטיקה,,,,2012,,,,,,,,,,,
COBN_F,Country of Birth National Categories- Father,OECDindex,Country of Birth National Categories,Father,,מדדים,מדינת לידה,אבא,,,2012,,,,,,,,,,,
COBN_M,Country of Birth National Categories- Mother,OECDindex,Country of Birth National Categories,Mother,,מדדים,מדינת לידה,אמא,,,2012,,,,,,,,,,,
COBN_S,Country of Birth National Categories- Self,OECDindex,Country of Birth National Categories,Self,,מדדים,מדינת לידה,תלמיד,,,2012,,,,,,,,,,,
COGACT,Cognitive Activation in Mathematics Lessons,OECDindex,Cognitive Activation in Mathematics Lessons,,,מדדים,הפעלת קוגניטיבית בשיעורי מתמטיקה,,,,2012,,,,,,,,,,,
CULTDIST,Cultural Distance between Host and Heritage Culture,OECDindex,Cultural Distance between Host and Heritage Culture,,,מדדים,הבדל תרבותי בין מהגרים לילידים,,,,2012,,,,,,,,,,,
CULTPOS,Cultural Possessions,OECDindex,Cultural Possessions,,,מדדים,,,,,2012,,,,,,,,,,,
DISCLIMA,Disciplinary Climate,OECDindex,Disciplinary Climate,,,מדדים,אקלים משמעת,,,,2012,,,,,,,,,,,
ENTUSE,ICT Entertainment Use,OECDindex,ICT Entertainment Use,,,מדדים,,,,,2012,,,,,,,,,,,
ESCS,Index of economic,social and cultural status,OECDindex,Index of economic,social and cultural status,,,מדדים,,,,,2012,,,,,,,,,
EXAPPLM,Experience with Applied Mathematics Tasks at School,OECDindex,Experience with Applied Mathematics Tasks at School,,,מדדים,,,,,2012,,,,,,,,,,,
EXPUREM,Experience with Pure Mathematics Tasks at School,OECDindex,Experience with Pure Mathematics Tasks at School,,,מדדים,,,,,2012,,,,,,,,,,,
FAILMAT,Attributions to Failure in Mathematics,OECDindex,Attributions to Failure in Mathematics,,,מדדים,,,,,2012,,,,,,,,,,,
FAMCON,Familiarity with Mathematical Concepts,OECDindex,Familiarity with Mathematical Concepts,,,מדדים,,,,,2012,,,,,,,,,,,
FAMCONC,Familiarity with Mathematical Concepts (Signal Detection Adjusted),OECDindex,Familiarity with Mathematical Concepts (Signal Detection Adjusted),,,מדדים,,,,,2012,,,,,,,,,,,
FAMSTRUC,Family Structure,OECDindex,Family Structure,,,מדדים,מבנה המשפחה,,,,2012,,,,,,,,,,,
FISCED,Educational level of father (ISCED),OECDindex,Educational level of father (ISCED),,,מדדים,,,,,2012,,,,,,,,,,,
HEDRES,Home educational resources,OECDindex,Home educational resources,,,מדדים,משאבי חינוך בבית,,,,2012,,,,,,,,,,,
HERITCUL,Acculturation: Heritage Culture Oriented Strategies,OECDindex,Acculturation: Heritage Culture Oriented Strategies,,,מדדים,,,,,2012,,,,,,,,,,,
HISCED,Highest educational level of parents,OECDindex,Highest educational level of parents,,,מדדים,,,,,2012,,,,,,,,,,,
HISEI,Highest parental occupational status,OECDindex,Highest parental occupational status,,,מדדים,,,,,2012,,,,,,,,,,,
HOMEPOS,Home Possessions,OECDindex,Home Possessions,,,מדדים,,,,,2012,,,,,,,,,,,
HOMSCH,ICT Use at Home for School-related Tasks,OECDindex,ICT Use at Home for School,related Tasks,,מדדים,,,,,2012,,,,,,,,,,,
HOSTCUL,Acculturation: Host Culture Oriented Strategies,OECDindex,Acculturation: Host Culture Oriented Strategies,,,מדדים,,,,,2012,,,,,,,,,,,
ICTATTNEG,Attitudes Towards Computers: Limitations of the Computer as a Tool for School Learning,OECDindex,Attitudes Towards Computers: Limitations of the Computer as a Tool for School Learning,,,מדדים,גישה למחשבים,מגבלות מחשב ככלי לימוד בבית ספר,,,2012,,,,,,,,,,,
